"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"122","org.jeecgframework.core.common.controller","src/org/jeecgframework/core/common/controller/BaseController.java","3","54","Parameter 'commonService' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"123","org.jeecgframework.core.common.controller","src/org/jeecgframework/core/common/controller/BaseController.java","3","54","Parameter 'dc' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"124","org.jeecgframework.core.common.controller","src/org/jeecgframework/core/common/controller/BaseController.java","5","59","Found 'DD'-anomaly for variable 'currentPage' (lines '59'-'65').","Controversial Rules","DataflowAnomalyAnalysis"
"125","org.jeecgframework.core.common.controller","src/org/jeecgframework/core/common/controller/BaseController.java","5","61","Found 'DD'-anomaly for variable 'totalRow' (lines '61'-'75').","Controversial Rules","DataflowAnomalyAnalysis"
"126","org.jeecgframework.core.common.controller","src/org/jeecgframework/core/common/controller/BaseController.java","5","62","Found 'DD'-anomaly for variable 'totalPage' (lines '62'-'77').","Controversial Rules","DataflowAnomalyAnalysis"
"127","org.jeecgframework.core.common.controller","src/org/jeecgframework/core/common/controller/BaseController.java","3","64","Local variable 'str_currentPage' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"128","org.jeecgframework.core.common.controller","src/org/jeecgframework/core/common/controller/BaseController.java","5","65","Found 'DD'-anomaly for variable 'currentPage' (lines '65'-'79').","Controversial Rules","DataflowAnomalyAnalysis"
"129","org.jeecgframework.core.common.controller","src/org/jeecgframework/core/common/controller/BaseController.java","3","68","Local variable 'str_pageRow' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"130","org.jeecgframework.core.common.controller","src/org/jeecgframework/core/common/controller/BaseController.java","3","84","Local variable 'list' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"131","org.jeecgframework.core.common.controller","src/org/jeecgframework/core/common/controller/BaseController.java","3","95","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"132","org.jeecgframework.core.common.controller","src/org/jeecgframework/core/common/controller/BaseController.java","3","104","Local variable 'rootUrl' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"133","org.jeecgframework.core.common.dao","src/org/jeecgframework/core/common/dao/ICommonDao.java","3","27","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"134","org.jeecgframework.core.common.dao","src/org/jeecgframework/core/common/dao/ICommonDao.java","3","31","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"135","org.jeecgframework.core.common.dao","src/org/jeecgframework/core/common/dao/ICommonDao.java","3","32","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"136","org.jeecgframework.core.common.dao","src/org/jeecgframework/core/common/dao/ICommonDao.java","3","37","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"137","org.jeecgframework.core.common.dao","src/org/jeecgframework/core/common/dao/ICommonDao.java","3","43","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"138","org.jeecgframework.core.common.dao","src/org/jeecgframework/core/common/dao/ICommonDao.java","3","64","Avoid variables with short names like in","Naming Rules","ShortVariable"
"139","org.jeecgframework.core.common.dao","src/org/jeecgframework/core/common/dao/ICommonDao.java","1","64","Method names should not start with capital letters","Naming Rules","MethodNamingConventions"
"140","org.jeecgframework.core.common.dao","src/org/jeecgframework/core/common/dao/IGenericBaseCommonDao.java","4","16","Avoid unused imports such as 'org.springframework.dao.DataAccessException'","Type Resolution Rules","UnusedImports"
"141","org.jeecgframework.core.common.dao","src/org/jeecgframework/core/common/dao/IGenericBaseCommonDao.java","4","16","Avoid unused imports such as 'org.springframework.dao.DataAccessException'","Type Resolution Rules","UnusedImports"
"142","org.jeecgframework.core.common.dao","src/org/jeecgframework/core/common/dao/IGenericBaseCommonDao.java","3","26","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"143","org.jeecgframework.core.common.dao","src/org/jeecgframework/core/common/dao/IGenericBaseCommonDao.java","3","32","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"144","org.jeecgframework.core.common.dao","src/org/jeecgframework/core/common/dao/IGenericBaseCommonDao.java","3","34","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"145","org.jeecgframework.core.common.dao","src/org/jeecgframework/core/common/dao/IGenericBaseCommonDao.java","3","36","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"146","org.jeecgframework.core.common.dao","src/org/jeecgframework/core/common/dao/IGenericBaseCommonDao.java","3","38","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"147","org.jeecgframework.core.common.dao","src/org/jeecgframework/core/common/dao/IGenericBaseCommonDao.java","3","40","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"148","org.jeecgframework.core.common.dao","src/org/jeecgframework/core/common/dao/IGenericBaseCommonDao.java","3","62","Avoid variables with short names like id","Naming Rules","ShortVariable"
"149","org.jeecgframework.core.common.dao","src/org/jeecgframework/core/common/dao/IGenericBaseCommonDao.java","3","99","Avoid variables with short names like id","Naming Rules","ShortVariable"
"150","org.jeecgframework.core.common.dao","src/org/jeecgframework/core/common/dao/IGenericBaseCommonDao.java","3","101","Avoid variables with short names like id","Naming Rules","ShortVariable"
"151","org.jeecgframework.core.common.dao","src/org/jeecgframework/core/common/dao/IGenericBaseCommonDao.java","3","119","Avoid variables with short names like id","Naming Rules","ShortVariable"
"152","org.jeecgframework.core.common.dao","src/org/jeecgframework/core/common/dao/IGenericBaseCommonDao.java","3","174","Avoid variables with short names like cq","Naming Rules","ShortVariable"
"153","org.jeecgframework.core.common.dao.impl","src/org/jeecgframework/core/common/dao/impl/CommonDao.java","3","1","A high number of imports can indicate a high degree of coupling within an object.","Coupling Rules","ExcessiveImports"
